iter	Logloss
187	0.1919516567
188	0.1918128906
189	0.191643714
190	0.1915083379
191	0.1913507163
192	0.1912282641
193	0.1910142173
194	0.1907793926
195	0.1905858488
196	0.1903473214
197	0.1901622868
198	0.1900119887
199	0.1898158762
200	0.1896548177
201	0.1895164425
202	0.1893660641
203	0.1891603414
204	0.1889435111
205	0.1887373542
206	0.1885571183
207	0.1883594685
208	0.1881900081
209	0.1880132755
210	0.1878558786
211	0.1876502316
212	0.1874545129
213	0.1871142557
214	0.1869324151
215	0.1867496235
216	0.1865856518
217	0.1863987794
218	0.1862068909
219	0.1860379216
220	0.1858793044
221	0.1856865626
222	0.1855058599
223	0.1853413873
224	0.1852016354
225	0.1850576255
226	0.1849686575
227	0.1847896518
228	0.1846656998
229	0.1844949157
230	0.1843470284
231	0.1841731072
232	0.1840234029
233	0.1838590466
234	0.1837119102
235	0.1835839228
236	0.1834062569
237	0.1831674762
238	0.1830050918
239	0.1828601772
240	0.1827034758
241	0.1825469456
242	0.1824147536
243	0.1822618362
244	0.18210634
245	0.1819159064
246	0.1817954787
247	0.1816250112
248	0.1814639848
249	0.1813319201
250	0.1811899502
251	0.1810565498
252	0.1809205181
253	0.1807721324
254	0.1806335215
255	0.1804856644
256	0.180324851
257	0.1801996575
258	0.1800853688
259	0.1799506325
260	0.1798256933
261	0.1796466697
262	0.1794879389
263	0.1793165578
264	0.1791743242
265	0.1790479908
266	0.1789240309
267	0.1787821428
268	0.1786830786
269	0.1785754928
270	0.1784230367
271	0.1782681615
272	0.1781500036
273	0.1780547538
274	0.1779209542
275	0.1777771123
276	0.1776231504
277	0.1774792105
278	0.1773287179
279	0.1772177428
280	0.1770977443
281	0.1769375701
282	0.1768244508
283	0.1766912203
284	0.1765950796
285	0.1763994631
286	0.1762256313
287	0.1760768823
288	0.1759478302
289	0.1758543125
290	0.1757580647
291	0.1756006184
292	0.1754715889
293	0.1753440381
294	0.1752146711
295	0.1750592983
296	0.1749642158
297	0.1748567237
298	0.1746472716
299	0.174518622
300	0.1743885191
301	0.1742802604
302	0.1741639263
303	0.1740429145
304	0.1738568855
305	0.1737552327
306	0.1735942655
307	0.1734611295
308	0.1733050931
309	0.1732050465
310	0.1730576999
311	0.1729485687
312	0.1728219218
313	0.172677964
314	0.1725092176
315	0.172421495
316	0.1722931403
317	0.1721705585
318	0.1720215802
319	0.1718815331
320	0.1717689826
321	0.1716293783
322	0.1714907502
323	0.1713384918
324	0.1711780065
325	0.1701506446
326	0.170007904
327	0.1698949821
328	0.1698133581
329	0.169723336
330	0.1695986609
331	0.1695022184
332	0.1694456952
333	0.1693578338
334	0.1692755136
335	0.1690632213
336	0.1689049711
337	0.1688052695
338	0.1686937438
339	0.1685727578
340	0.1684580465
341	0.168355099
342	0.16819654
343	0.1681062651
344	0.1679833535
345	0.167846764
346	0.1677280534
347	0.1676464933
348	0.1674923632
349	0.1674181841
350	0.167294807
351	0.1672065787
352	0.1671193243
353	0.1670145162
354	0.1668633058
355	0.1667179382
356	0.1666317528
357	0.1664901476
358	0.1663267852
359	0.1662013543
360	0.1661256229
361	0.1659991434
362	0.1659175818
363	0.1658161861
364	0.1657702611
365	0.1656630385
366	0.1655616943
367	0.165481262
368	0.1653802419
369	0.1652910003
370	0.1651784344
371	0.1650413794
372	0.1649455462
373	0.1648366064
374	0.1647304173
375	0.1645646704
376	0.164460272
377	0.1643889318
378	0.1642647683
379	0.1641246958
380	0.1639683617
381	0.1638652958
382	0.163766045
383	0.1636509837
384	0.1635159173
385	0.1633998194
386	0.1632894059
387	0.1631955493
388	0.1631495742
389	0.1630192644
390	0.1628741656
391	0.1627561308
392	0.1625916297
393	0.1624739608
394	0.1623474089
395	0.1622442648
396	0.1620882772
397	0.1619694122
398	0.1618742109
399	0.1617212438
400	0.1615805891
401	0.1614957229
402	0.1613751433
403	0.1612812735
404	0.1612030745
405	0.1611408583
406	0.1610275128
407	0.1609146991
408	0.1608306573
409	0.1607042395
410	0.1605625473
411	0.1604509504
412	0.1603780601
413	0.1602521083
414	0.1601340764
415	0.1599979292
416	0.1598807978
417	0.1597970664
418	0.1596847969
419	0.1595615226
420	0.1594399681
421	0.1593349689
422	0.1592367567
423	0.1591464009
424	0.1590453728
425	0.1589651778
426	0.1588414013
427	0.1587153201
428	0.1586232187
429	0.1585142489
430	0.1584169456
431	0.1582720929
432	0.1581865797
433	0.1581088085
434	0.1580187515
435	0.1579281421
436	0.1578630134
437	0.1577564206
438	0.1577084894
439	0.1576332491
440	0.1575177145
441	0.1574502668
442	0.1573351063
443	0.15722967
444	0.1571172333
445	0.1569819399
446	0.1568411772
447	0.156746931
448	0.1566435442
449	0.1565060771
450	0.156335164
451	0.1562237017
452	0.1560950285
453	0.1559750177
454	0.1558456024
455	0.1557237095
456	0.1556106555
457	0.1555248538
458	0.1554330754
459	0.1553277144
460	0.1552157337
461	0.1551019414
462	0.1549976231
463	0.1549020964
464	0.1548176592
465	0.1547529982
466	0.1546989362
467	0.1546359407
468	0.1545431727
469	0.1544768929
470	0.1543972166
471	0.1543262742
472	0.1542126693
473	0.1540675617
474	0.1539858761
475	0.1538888531
476	0.1537959873
477	0.1536769344
478	0.1535938458
479	0.153528195
480	0.1534393624
481	0.1533110906
482	0.1532246194
483	0.1530820843
484	0.1530055518
485	0.1528988525
486	0.152813701
487	0.1527542297
488	0.1526894076
489	0.1525690307
490	0.1524868566
491	0.152410815
492	0.1523286961
493	0.1521975642
494	0.1520334089
495	0.1519676139
496	0.15185491
497	0.1517528111
498	0.1516817531
499	0.1515909278
500	0.1514955049
501	0.1513630106
502	0.1512236713
503	0.1511329828
504	0.1510812313
505	0.1510360235
506	0.1509450523
507	0.1508933523
508	0.1507940281
509	0.1507126964
510	0.1506241233
511	0.1505146161
512	0.1504160648
513	0.150343364
514	0.15027152
515	0.1501922477
516	0.1500591338
517	0.1499713133
518	0.1498528721
519	0.1497622758
520	0.149648511
521	0.1495508776
522	0.149456577
523	0.1493366573
524	0.1492149398
525	0.1491136346
526	0.1490179101
527	0.148924523
528	0.1488421584
529	0.1487251431
530	0.1486717856
531	0.1485537678
532	0.1484981781
533	0.1483910364
534	0.148323319
535	0.1482199387
536	0.1480831554
537	0.1479973953
538	0.1478825975
539	0.1477648275
540	0.1476841353
541	0.1475997941
542	0.1475306927
543	0.147442261
544	0.1473483471
545	0.1472607286
546	0.1471350376
547	0.1470261905
548	0.1469938595
549	0.1469120322
550	0.1468011061
551	0.1466958109
552	0.1465858501
553	0.1465065217
554	0.1464356921
555	0.1463940421
556	0.146316429
557	0.1462030386
558	0.146112156
559	0.1459929775
560	0.145892465
561	0.1457944977
562	0.1457197842
563	0.1456431997
564	0.1455686902
565	0.1454886654
566	0.145403148
567	0.1452935706
568	0.1452077571
569	0.145113238
570	0.1450187171
571	0.144903672
572	0.1448213084
573	0.1447614767
574	0.14467427
575	0.144597463
576	0.1444896124
577	0.1443891469
578	0.1443050683
579	0.1442127569
580	0.1441368132
581	0.1440663785
582	0.1439898291
583	0.1438823893
584	0.1437755098
585	0.1436858015
586	0.1436019232
587	0.1435081161
588	0.1434226082
589	0.1432991103
590	0.143190275
591	0.1431011324
592	0.143001692
593	0.1429155265
594	0.1428335859
595	0.1427264306
596	0.1426030515
597	0.1425407556
598	0.1424344358
599	0.1423585161
600	0.1423133398
601	0.1422361129
602	0.1421231765
603	0.1419954557
604	0.1419007894
605	0.1417913629
606	0.1417001371
607	0.1416743724
608	0.1416021396
609	0.1415246988
610	0.1414429472
611	0.1413660591
612	0.1412659182
613	0.1411434536
614	0.1410154397
615	0.1409588206
616	0.1408420812
617	0.1407402291
618	0.1406781117
619	0.1405855369
620	0.1404510768
621	0.140327152
622	0.1402648126
623	0.1401755649
624	0.1400865829
625	0.1400229985
626	0.1399591751
627	0.1398580068
628	0.1397709473
629	0.1396814882
630	0.1396061775
631	0.1395235316
632	0.1394360221
633	0.1393084604
634	0.1392533152
635	0.1391295466
636	0.1390488231
637	0.1389428628
638	0.1388558446
639	0.1387703393
640	0.1387334471
641	0.1386599739
642	0.138615241
643	0.1384924894
644	0.1384125818
645	0.1383393756
646	0.1382262864
647	0.1381127227
648	0.1380242412
649	0.1379152713
650	0.1378304099
651	0.1377731447
652	0.1376886574
653	0.1376362677
654	0.1375769141
655	0.1374516673
656	0.1373581134
657	0.1372480832
658	0.1371956661
659	0.1371294514
660	0.1370355301
661	0.1369913815
662	0.136931329
663	0.1368137362
664	0.1367292007
665	0.1366327897
666	0.1365759016
667	0.1364826939
668	0.1363900378
669	0.1362967853
670	0.1362232422
671	0.136131212
672	0.136030531
673	0.1359564535
674	0.1358556712
675	0.135755895
676	0.1356526317
677	0.1355735861
678	0.1354999187
679	0.1354400388
680	0.1353459444
681	0.1352489656
682	0.1351495332
683	0.1350817596
684	0.1349997517
685	0.1349239399
686	0.134828096
687	0.1347063169
688	0.1346190767
689	0.1345420878
690	0.1344579101
691	0.1343937283
692	0.1342812987
693	0.1342093478
694	0.1341658634
695	0.1341123743
696	0.1340178658
697	0.1339497336
698	0.1338700879
699	0.1338026543
700	0.1337265113
701	0.1335959294
702	0.1335737172
703	0.1334996831
704	0.1334216412
705	0.1333452121
706	0.1332727843
707	0.1331724197
708	0.1331004336
709	0.1329868294
710	0.1328868298
711	0.1328191259
712	0.1327500361
713	0.132680935
714	0.1326335842
715	0.13255964
716	0.1324437776
717	0.1323635657
718	0.1323245618
719	0.1322237803
720	0.132130099
721	0.1320189566
722	0.1319211625
723	0.1318650127
724	0.1317727701
725	0.1317139527
726	0.131604176
727	0.1315165808
728	0.1314579633
729	0.1313955855
730	0.1312842153
731	0.1312119937
732	0.1311230235
733	0.1310370609
734	0.1309375089
735	0.1308575257
736	0.1308030327
737	0.130724735
738	0.130634521
739	0.1305419624
740	0.1304652448
741	0.130409928
742	0.1303353655
743	0.1302738408
744	0.130219526
745	0.1301888382
746	0.1301042417
747	0.1300121011
748	0.1299103078
749	0.1297961823
750	0.1297067139
751	0.1296048022
752	0.1295354609
753	0.1294609473
754	0.1294037287
755	0.1293248645
756	0.1292441838
757	0.1291702666
758	0.1291047422
759	0.1290488605
760	0.1289498007
761	0.1288462784
762	0.128803342
763	0.1287272629
764	0.1286455861
765	0.1285598004
766	0.1285054459
767	0.1284188141
768	0.1283223103
769	0.1282169138
770	0.1281466088
771	0.1280448856
772	0.1279654641
773	0.1278956646
774	0.1278469878
775	0.1277805134
776	0.127697011
777	0.1276346349
778	0.1275578007
779	0.1274859586
780	0.1273980917
781	0.1273191574
782	0.1272258925
783	0.127140497
784	0.1270471307
785	0.1269853134
786	0.1268941073
787	0.1268100236
788	0.1267433507
789	0.1266681117
790	0.1265958984
791	0.1264812079
792	0.1264192864
793	0.126343527
794	0.126273558
795	0.1261858657
796	0.1261147587
797	0.1260285725
798	0.1259318978
799	0.1258543821
800	0.1258230548
801	0.1257834739
802	0.1257154302
803	0.1256534148
804	0.1255721296
805	0.125479582
806	0.1254134271
807	0.1253481315
808	0.1253045516
809	0.1252652465
810	0.1251797898
811	0.1251213119
812	0.125037294
813	0.1249549908
814	0.1248614204
815	0.1247905705
816	0.1247511418
817	0.1246872956
818	0.1246132229
819	0.1245299269
820	0.1244680821
821	0.1244230551
822	0.1243324831
823	0.1242413617
824	0.1241904338
825	0.124099893
826	0.1240328189
827	0.1239229901
828	0.1238834721
829	0.1238199077
830	0.123795946
831	0.1236911651
832	0.1235950101
833	0.1235490088
834	0.1235111153
835	0.1234476459
836	0.1233851782
837	0.1232666858
838	0.1231704882
839	0.1231050501
840	0.1230412217
841	0.1229610772
842	0.1229042299
843	0.1228016433
844	0.1227498979
845	0.1226537869
846	0.1225715093
847	0.1224999284
848	0.1224363878
849	0.1223396775
850	0.1222564419
851	0.1221773181
852	0.1221001567
853	0.1219972029
854	0.1219021476
855	0.1218336222
856	0.1218022399
857	0.1217387601
858	0.1216930491
859	0.1216330652
860	0.1215586859
861	0.1215046098
862	0.1214542616
863	0.1213957371
864	0.1212951854
865	0.1212379338
866	0.1211856161
867	0.1211004967
868	0.1210030076
869	0.1209239743
870	0.120855076
871	0.1207610215
872	0.1206917634
873	0.1206056211
874	0.1205441968
875	0.1204731791
876	0.1204004824
877	0.1203697018
878	0.1203121624
879	0.1202444071
880	0.1201692669
881	0.1200787319
882	0.1200318953
883	0.1199631628
884	0.1198880773
885	0.119833621
886	0.1197524007
887	0.1196408624
888	0.1195640976
889	0.1194823838
890	0.1194229957
891	0.1193346511
892	0.1192653158
893	0.119199708
894	0.11912116
895	0.1190584877
896	0.1189729712
897	0.1188863486
898	0.11881
899	0.1187604765
900	0.1187017167
901	0.1186478229
902	0.1185724949
903	0.1184972238
904	0.1184390867
905	0.1183572905
906	0.1182845837
907	0.1182471593
908	0.1181964725
909	0.1181133997
910	0.1180189156
911	0.1179223264
912	0.1178390855
913	0.1177772556
914	0.117737203
915	0.1176627257
916	0.1175952433
917	0.1175371915
918	0.1174596205
919	0.1174068608
920	0.1173216045
921	0.1172702812
922	0.117211705
923	0.1171595883
924	0.1171135558
925	0.117038764
926	0.1169570554
927	0.1169021632
928	0.1168492974
929	0.1167891316
930	0.116725213
931	0.1166555245
932	0.11657056
933	0.1165413659
934	0.1164849467
935	0.1164074321
936	0.116337084
937	0.1162469311
938	0.1161666174
939	0.1160842896
940	0.1160305092
941	0.1159823001
942	0.1158951957
943	0.1158401418
944	0.11579343
945	0.1157009575
946	0.1156614579
947	0.1155895237
948	0.1155077078
949	0.1154400238
950	0.1153611231
951	0.1152607633
952	0.1152245419
953	0.1151367925
954	0.1150862321
955	0.1150193137
956	0.114931282
957	0.1148833809
958	0.1148397949
959	0.1147832845
960	0.1147200092
961	0.1146663097
962	0.1146210623
963	0.1145643398
964	0.1145086241
965	0.1144285882
966	0.1143342967
967	0.1142776698
968	0.1142282598
969	0.1141478987
970	0.1141081336
971	0.1140247007
972	0.1139521964
973	0.1138660603
974	0.1137885088
975	0.1137419465
976	0.1136890591
977	0.1136066931
978	0.1135577053
979	0.1134939512
980	0.1134514162
981	0.1133406369
982	0.1132700953
983	0.1131883524
984	0.1131109649
985	0.1130136338
986	0.1129479486
987	0.1128814918
988	0.11280906
989	0.1127224964
990	0.1126380922
991	0.1125817888
992	0.1125556439
993	0.1125029578
994	0.1124550024
995	0.1123800454
996	0.1123143279
997	0.1122311996
998	0.1121710214
999	0.112111553
